id,name,height,weight,base_experience,types
1,bulbasaur,7,69,64,"grass, poison"
2,ivysaur,10,130,142,"grass, poison"
3,venusaur,20,1000,236,"grass, poison"
4,charmander,6,85,62,fire
5,charmeleon,11,190,142,fire
6,charizard,17,905,240,"fire, flying"
7,squirtle,5,90,63,water
8,wartortle,10,225,142,water
9,blastoise,16,855,239,water
10,caterpie,3,29,39,bug
11,metapod,7,99,72,bug
12,butterfree,11,320,178,"bug, flying"
13,weedle,3,32,39,"bug, poison"
14,kakuna,6,100,72,"bug, poison"
15,beedrill,10,295,178,"bug, poison"
16,pidgey,3,18,50,"normal, flying"
17,pidgeotto,11,300,122,"normal, flying"
18,pidgeot,15,395,216,"normal, flying"
19,rattata,3,35,51,normal
20,raticate,7,185,145,normal
21,spearow,3,20,52,"normal, flying"
22,fearow,12,380,155,"normal, flying"
23,ekans,20,69,58,poison
24,arbok,35,650,157,poison
25,pikachu,4,60,112,electric
26,raichu,8,300,218,electric
27,sandshrew,6,120,60,ground
28,sandslash,10,295,158,ground
29,nidoran-f,4,70,55,poison
30,nidorina,8,200,128,poison
